Plant,ABC,Material,SLOC,Bin,QTY,Last Count,Cost,Description
US53,C,306396-001,1000,MC2,0,,0.06,SOCKET HEAD CAP SCREW
US53,C,306458-001,1000,MC1,0,2/23/2017,31.25,"POSITION SENSOR, LM2-R2"
US53,C,306471-001,1000,M3D,0,11/8/2017,60,SPREADER COIL
US53,C,306471-002,1000,M3D,0,11/8/2017,60,"SPREADER COIL, NOTCHED"
US53,C,306598-001,1000,,1,,0.02,"WASHER, LOCK, LM2-R2"
US53,C,306599-001,1000,MC2,0,,0.02,"NUT, HEX, LM2-R2"
US53,C,306600-001,1000,MC2,0,,1.86,"BOLT, SOC HD CAP, LM2-R2"
US53,C,306651-001,1000,,0,,0.11,"SHOULDER SCREW, LM3"
US53,C,306651-002,1000,MC2,0,,0.89,SHOULDER SCREW
US53,C,306652-001,1000,MC2,0,,0.42,"STACK SCREW, LM3"
US53,C,306653-001,1000,MC2,0,,0.89,"BUMP STOP SCREW, LM3"
US53,C,306654-001,1000,,0,,0.01,"FLEXURE STANDOFF SCREW, LM3"
US53,C,306654-002,1000,MC1,0,,2,"SHCS, M8-1.25 x 35mm LG"
US53,C,306656-001,1000,MC2,0,,0.4,"DOWEL PIN, LM3"
US53,C,306657-001,1000,MC2,0,,0.07,"SCREW, POWER CONNECTOR,LM3"
US53,C,306707-001,1000,,0,,41.15,FLEXURE LM2-R2 STD
US53,C,307501-001,1000,,0,,0.26,"LABEL, LM2"
US53,C,307527-001,1000,,0,,0.01,"MOTOR ASSY, LM3, DUAL AMP"
US53,C,307543-001,1000,,0,,0.26,"LABEL BLANK,3 8X17.5mm, SILVER"
US53,C,307569-003,1000,,0,,0.01,"MOTOR ASSY,  LM3 DUAL AMP"
US53,B,307577-001,1000,M4D,5,5/24/2023,98.78,"TERMINAL BLOCK,BARRIER,DIST OUT,115A,4P"
US53,C,308525-001,1000,,0,,0.01,EFI POTTING SYSTEM
US53,C,309499-001,1000,,0,,0.01,"MACHINED CARRIER, LM1"
US53,C,309598-001,1000,,0,6/6/2017,"3,625.53",MOTOR ASSY LM2-DLP CUST REF
US53,C,310950-001,1000,,0,,0.01,"FLEXURE,LM3, STRESS-LITE"
US53,C,311469-001,1000,MC2,0,5/27/2016,1.95,"SCREW, SHCS,M8-1.25 x 200mm LG"
US53,C,311470-001,1000,MC2,0,,0.5,"NUT, NYLOCK, M8-1.25 THD"
US53,C,311471-001,1000,MC2,0,,0.14,"SCREW, SHCS,1/4-20 x 1"" LG"
US53,C,311708-001,1000,M3D,0,11/16/2016,99.86,"FLEXURE STANDOFF, LM3"
US53,C,311709-001,1000,,0,,0.01,"FLEXURE, LM3"
US53,C,311709-002,1000,,0,,0.01,FLEXURE
US53,C,311850-001,1000,,0,,0.01,3M SCOTCHCAST EPOXY POWDERCOAT
US53,C,313019-001,1000,M3D,0,4/28/2017,29.67,FLEXURE RETAINING PLATE
US53,C,313047-001,1000,,0,,2,SHOULDER SCREW SPECIAL
US53,C,313287-001,1000,MC2,0,,3,DAMPING PAD
US53,C,313297-001,1000,,0,,1,"TRANSFER TAPE,DIE CUT STANDOFF"
US53,C,313298-001,1000,,0,,0.01,TRANSFER TAPE DIE CUT LP
US53,C,313327-001,1000,,0,,2,SHOULDER SCREW SPECIAL
US53,C,313855-001,1000,,0,,1,FERRULE
US53,C,318852-001,1000,,0,,0.25,"ADHESIVE,URETHANE,LORD 7545-A/F"
US53,C,318852-002,1000,,0,,19.6,"ADHESIVE,URETHANE,LORD 7545-A/C"
