Plnt,ABC,CC Ind,MRP,Material,UM,SLoc,Bin,Unres Qty On Hand,  Last Count,Std Cst,Material description,MS,MS2
US53,A,A,TY1,350842-0010,EA,1000,J3-C,0.000,01/12/2022,"3,140.00","AMP ASSY,DUAL LM1,INDEPENDENT MOVER",DP,DP
US53,C,X,TY1,350843-0010,EA,1000,,0.000,,20.21,"ADHESIVE,URETHANE,LOCT,HYSOL U-10FL",OB,
US53,C,X,TY1,350870-0010,EA,1000,,0.000,,773.50,"BLOCK,SPECIMEN,DENTAL IMPLANT",RG,
US53,C,X,TY1,350871-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,17.0 DEG",PP,
US53,C,X,TY1,350872-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,25.0 DEG",PP,
US53,C,X,TY1,350873-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,28.0DEG",PP,
US53,C,X,TY1,350874-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,30.0 DEG",PP,
US53,C,X,TY1,350875-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,33.0 DEG",PP,
US53,C,X,TY1,350876-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,35.0 DEG",PP,
US53,C,X,TY1,350877-0010,EA,1000,,0.000,,241.57,"BLOCK,SPECIMEN,DENTAL IMPLANT,40.0 DEG",PP,
US53,B,B,TY1,350897-0010,EA,1000,K11-K3,1.000,10/24/2024,"1,068.67","BASE,SPECIMEN,DENTAL IMPLANT FIXTURE",RG,
US53,C,X,TY1,350905-0010,EA,1000,,0.000,,142.83,"ADAPTER,DENTAL IMPLANT,10-32 UNF",PP,
US53,C,X,TY6,350909-0010,EA,1000,,0.000,,469.62,"KIT,MICROADJUST ASSY,3200-LM1 TB",RG,
US53,C,X,TY6,350910-0010,EA,1000,,0.000,,"9,208.42","KIT,ELECTRONICS,3220-LS II",RG,
US53,C,X,TY6,350910-0020,EA,1000,,0.000,,"9,780.68","KIT,ELECTRONICS,3230-LS II",RG,
US53,C,D,TY1,350931-0010,EA,1000,K11-J3,2.000,05/02/2023,128.33,"CLEVIS,FLEX JOINT,DENTAL IMPLANT",RG,
US53,C,X,TY6,350934-0010,EA,1000,,0.000,,"26,129.04","SYSTEM,3220-ES II,4X2 PCI,120V",OB,OB
US53,C,X,TY6,350934-0020,EA,1000,,0.000,,"26,310.98","SYSTEM,3220-ES II,4X2 PCI,230V",OB,
US53,C,X,TY6,350934-0030,EA,1000,,0.000,,"27,005.94","SYSTEM,3220-ES II,8X2 PCI,120V",OB,
US53,C,X,TY6,350934-0040,EA,1000,,0.000,,"27,167.90","SYSTEM,3220-ES II,8X2 PCI,230V",OB,
US53,C,D,TY1,350935-0010,EA,1000,K11-I3,2.000,05/23/2023,275.00,"BLOCK,FLEX JOINT,DENTAL IMPLANT",RG,
US53,C,D,TY1,350945-0010,EA,1000,K11-H6,1.000,04/27/2023,114.54,"SHAFT,EXTENSION,DENTAL IMPLANT,FIXTURE",RG,
US53,C,X,TY1,350946-0010,EA,1000,,0.000,,291.00,"SHAFT,ANVIL,DENTAL IMPLANT FIXTURE",RG,
US53,C,X,TY6,350947-0010,EA,1000,,0.000,,901.35,"COUPLING,ASSY,FLEX, ,3 DEG",RG,
US53,C,X,TY6,350948-0010,EA,1000,,0.000,,"28,173.71","SYSTEM,3230-ES II,4X2 PCI,120V",OB,
US53,C,X,TY6,350948-0020,EA,1000,,0.000,,"28,335.67","SYSTEM,3230-ES II,4X2 PCI,230V",OB,OB
US53,C,X,TY6,350948-0030,EA,1000,,0.000,,"29,050.61","SYSTEM,3230-ES II,8X2 PCI,120V",OB,OB
US53,C,X,TY6,350948-0040,EA,1000,,0.000,,"29,212.57","SYSTEM,3230-ES II,8X2 PCI,230V",OB,OB
US53,C,X,TY1,350949-0010,EA,1000,K9-H3,1.000,,7.81,"WASHER,SILICONE,35X9X2mm TK,A70",RG,
US53,C,X,TY1,350961-0010,EA,1000,B7-E,0.000,,198.75,"BASE,FIXTURE,DOUBLE LAP SHEAR",DS,DS
US53,C,X,TY1,350964-0010,EA,1000,B7-E,0.000,,123.19,"PLATE,SIDE,FIXTURE,DOUBLE LAP SHEAR",DS,DS
US53,C,X,TY1,350965-0010,EA,1000,B5-D,0.000,,198.20,"PLATE,CENTER,FIXTURE,DOUBLE LAP SHEAR",DS,DS
US53,C,X,TY6,350966-0010,EA,1000,,0.000,,"12,020.70","KIT,UPGRADE,TB-ES,120V",RG,
US53,C,X,TY6,350966-0020,EA,1000,,0.000,,"12,016.40","KIT,UPGRADE,TB-ES,230V",RG,
US53,C,X,TY1,350968-0010,EA,1000,B7-E,0.000,,190.13,"PLATE,TOP,FIXTURE,DOUBLE LAP SHEAR",DS,DS
US53,C,X,TY6,350969-0010,EA,1000,,0.000,,"28,264.80","SYSTEM,LM1 TB-ES,200N,4X2,120V",DS,
US53,C,X,TY1,350971-0250,EA,1000,A1-F,0.000,,26.75,"LINE CORD,5-15,C19,14AWG,2.5M",RG,
US53,C,D,TY1,351088-0010,EA,1000,K6-H4,4.000,05/10/2023,104.40,"NUT,TEE,M4 X 0.7,2.914 RADIUS",RG,
US53,C,D,TY1,351100-0010,EA,1000,K11-I4,0.000,05/12/2021,110.00,"PLATE,BASE,DENTAL IMPLANT FIXTURE",RG,
US53,C,D,TY1,351103-0010,EA,1000,K6-C1,4.000,05/26/2023,65.00,"ADAPTER,THREAD,5/8-18M,M6X1.0F",RG,
